repo_name,repo_url,stars,contributors,commits,update_date,forks
sentry,https://github.com/getsentry/sentry,35531,346,64143,2023-11-10 08:54:19,4015
jumpserver,https://github.com/jumpserver/jumpserver,22351,100,10756,2023-11-10 09:03:13,5187
saleor,https://github.com/saleor/saleor,19269,237,21037,2023-11-10 09:20:30,5217
zulip,https://github.com/zulip/zulip,18722,389,56210,2023-11-10 09:53:23,6797
plane,https://github.com/makeplane/plane,18138,65,2981,2023-11-10 09:22:41,819
ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,17183,104,3416,2023-11-10 04:20:13,1021
wagtail,https://github.com/wagtail/wagtail,16234,339,16894,2023-11-10 09:03:14,3477
label-studio,https://github.com/HumanSignal/label-studio,14702,104,3100,2023-11-10 09:01:02,1792
posthog,https://github.com/PostHog/posthog,14278,184,14875,2023-11-10 09:21:41,859
netbox,https://github.com/netbox-community/netbox,13423,275,12023,2023-11-10 07:25:56,2268
awx,https://github.com/ansible/awx,12806,277,33692,2023-11-09 20:43:16,3304
paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,11630,288,8831,2023-11-10 07:56:25,573
cvat,https://github.com/opencv/cvat,10363,209,4167,2023-11-10 08:49:16,2583
django-cms,https://github.com/django-cms/django-cms,9583,308,15977,2023-11-09 23:17:56,2999
spug,https://github.com/openspug/spug,9231,8,1215,2023-11-10 19:18:18,1917
pyroscope,https://github.com/grafana/pyroscope,8725,146,4139,2023-11-10 14:57:47,502
doccano,https://github.com/doccano/doccano,8461,83,3519,2023-11-10 06:58:09,1625
healthchecks,https://github.com/healthchecks/healthchecks,6736,81,2832,2023-11-09 17:17:54,730
edx-platform,https://github.com/openedx/edx-platform,6732,242,64536,2023-11-10 02:30:37,3651
NewsBlur,https://github.com/samuelclay/NewsBlur,6559,87,17047,2023-11-09 11:59:29,997
librephotos,https://github.com/LibrePhotos/librephotos,6116,56,1610,2023-11-10 19:59:21,260
rengine,https://github.com/yogeshojha/rengine,6031,65,3237,2023-11-10 20:15:53,950
highlight,https://github.com/highlight/highlight,5952,62,5834,2023-11-10 07:24:47,243
django-oscar,https://github.com/django-oscar/django-oscar,5919,268,9019,2023-11-09 22:41:14,2169
DjangoBlog,https://github.com/liangliangyy/DjangoBlog,5863,17,865,2023-11-10 07:52:23,2534
graphite-web,https://github.com/graphite-project/graphite-web,5754,314,4328,2023-11-07 12:35:02,1288
OnlineJudge,https://github.com/QingdaoU/OnlineJudge,5614,18,1917,2023-11-10 05:30:44,1412
lesspass,https://github.com/lesspass/lesspass,5558,60,2344,2023-11-10 01:02:26,320
cabot,https://github.com/arachnys/cabot,5512,51,735,2023-11-09 08:36:42,629
Archery,https://github.com/hhyo/Archery,5297,95,1953,2023-11-10 07:57:53,1557
authentik,https://github.com/goauthentik/authentik,5010,206,13522,2023-11-10 05:04:28,396
OpenChat,https://github.com/openchatai/OpenChat,4764,13,450,2023-11-10 21:49:30,721
mezzanine,https://github.com/stephenmcd/mezzanine,4659,263,5304,2023-11-07 12:33:44,1646
recipes,https://github.com/TandoorRecipes/recipes,4453,247,5736,2023-11-10 19:44:06,500
linkding,https://github.com/sissbruecker/linkding,4203,56,446,2023-11-10 08:56:35,209
weblate,https://github.com/WeblateOrg/weblate,3888,318,62862,2023-11-10 09:30:54,933
mercury,https://github.com/mljar/mercury,3586,12,791,2023-11-09 15:33:06,221
tubearchivist,https://github.com/tubearchivist/tubearchivist,3417,43,1717,2023-11-10 04:11:48,168
GreaterWMS,https://github.com/GreaterWMS/GreaterWMS,3324,12,2174,2023-11-10 12:00:08,847
flagsmith,https://github.com/Flagsmith/flagsmith,3244,57,3638,2023-11-10 09:23:26,257
