repo_url,justification
https://github.com/weitblicker/weitblick-website,
https://github.com/mbrsagor/covid19,
https://github.com/joshand/adaptive-policy-sync,
https://github.com/weni-ai/bothub-engine,
https://github.com/simonw/django-sql-dashboard,
https://github.com/CIS192/website,Not a django web app
https://github.com/ncsa/bhr-site,"It probably has a web interface, but not a real web app"
https://github.com/WISVCH/dienst2,Not a web app
https://github.com/caffeinehit/django-oauth2-provider,library
https://github.com/nnseva/django-jsoneditor,library
https://github.com/uktrade/selling-online-overseas,
https://github.com/mazassumnida/mazassumnida,not a web app
https://github.com/aims-group/publication-site,boilerplate/template
https://github.com/GrahamDumpleton/mod_wsgi,not a web app
https://github.com/Dracks/mr-scrooge,
https://github.com/PBP-G20Project/pusat-pengaduan,"It's a web app, but one made as a project by some students"
https://github.com/profjsb/python-seminar,university course
https://github.com/0xdbff/tuxTech,
https://github.com/matchd-ch/matchd-backend,
https://github.com/wagtail/wagtail-autocomplete,A module for wagtail (it's a cms)
https://github.com/sachsom95/Dublin_bus_official,
https://github.com/boxine/bx_django_utils,A collection of utility functions
https://github.com/MagnumNight/PulsePoint,
https://github.com/yashgo0018/django-ecommerce,
https://github.com/nisiotis/dideman,
https://github.com/MRCIEU/MELODI-Presto,It seems to have a django web ui
https://github.com/bear-rsg/experiences-of-landscape-workers,
https://github.com/django-oscar/django-oscar,framework not a web app
https://github.com/rownd/docs,docs
https://github.com/yoctoproject/poky,no idea
https://github.com/OfficeDev/office-content,docs
https://github.com/inducer/relate,
https://github.com/ziauldin123/django-ecommerce-B2B2C,
https://github.com/webmalc/nativecards-server,just the backend of a web app
https://github.com/route4me/route4me-curl,sdk
https://github.com/sparcians/map,framework
https://github.com/OpenDataServices/org-ids,just a frontend of a web app
https://github.com/cehyman/boiler-buy,
https://github.com/Azure-Samples/azure-python-labs,"labs, sample code"
https://github.com/kanedata/find-that-charity,
https://github.com/qwlake/knu-festival,
https://github.com/open-zaak/open-zaak,not a web app
https://github.com/jardiacaj/finem_imperii,
https://github.com/blabla1337/skf-flask,framework
https://github.com/amiransht/sehat-terus,
https://github.com/Volontaria/API-Volontaria,api
https://github.com/museum4punkt0/Ping-Backend,just the backend of a web app
https://github.com/yezyilomo/django-restql,library
https://github.com/urfonline/api,api
https://github.com/GeneralNotability/bullseye,
