repo_name,repo_url,stars,contributors,commits,update_date,forks
django,https://github.com/django/django,73938,393,32364,2023-11-10 09:42:53,30393
sentry,https://github.com/getsentry/sentry,35531,346,64143,2023-11-10 08:54:19,4015
REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,29984,63,205,2023-11-10 10:29:13,7383
Python,https://github.com/geekcomputers/Python,28628,408,3596,2023-11-10 06:59:04,12089
django-rest-framework,https://github.com/encode/django-rest-framework,26594,387,8742,2023-11-10 10:28:57,6792
autocomplete,https://github.com/withfig/autocomplete,23400,408,4564,2023-11-11 08:40:54,5233
celery,https://github.com/celery/celery,22506,397,12460,2023-11-10 08:32:27,4571
jumpserver,https://github.com/jumpserver/jumpserver,22351,100,10756,2023-11-10 09:03:13,5187
saleor,https://github.com/saleor/saleor,19269,237,21037,2023-11-10 09:20:30,5217
zulip,https://github.com/zulip/zulip,18722,389,56210,2023-11-10 09:53:23,6797
plane,https://github.com/makeplane/plane,18138,65,2981,2023-11-10 09:22:41,819
ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,17183,104,3416,2023-11-10 04:20:13,1021
Python,https://github.com/walter201230/Python,17016,9,118,2023-11-11 04:42:56,4736
wagtail,https://github.com/wagtail/wagtail,16234,339,16894,2023-11-10 09:03:14,3477
Mobile-Security-Framework-MobSF,https://github.com/MobSF/Mobile-Security-Framework-MobSF,15170,80,1886,2023-11-11 06:25:52,3036
vulhub,https://github.com/vulhub/vulhub,15147,57,1980,2023-11-10 09:10:15,4244
label-studio,https://github.com/HumanSignal/label-studio,14702,104,3100,2023-11-10 09:01:02,1792
posthog,https://github.com/PostHog/posthog,14278,184,14875,2023-11-10 09:21:41,859
ChatterBot,https://github.com/gunthercox/ChatterBot,13657,82,1848,2023-11-10 03:38:39,4418
salt,https://github.com/saltstack/salt,13582,297,120295,2023-11-10 17:25:43,5494
nixpkgs,https://github.com/NixOS/nixpkgs,13562,379,557255,2023-11-11 05:01:36,10986
netbox,https://github.com/netbox-community/netbox,13423,275,12023,2023-11-10 07:25:56,2268
awx,https://github.com/ansible/awx,12806,277,33692,2023-11-09 20:43:16,3304
Zappa,https://github.com/Miserlou/Zappa,11906,203,2916,2023-11-09 07:10:17,1283
paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,11630,288,8831,2023-11-10 07:56:25,573
linguist,https://github.com/github-linguist/linguist,11383,413,6618,2023-11-09 23:26:44,4310
cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,10999,363,7128,2023-11-10 09:19:31,2735
pyinstaller,https://github.com/pyinstaller/pyinstaller,10742,392,9122,2023-11-10 12:11:41,1950
peewee,https://github.com/coleifer/peewee,10432,123,4564,2023-11-11 09:30:37,1370
cvat,https://github.com/opencv/cvat,10363,209,4167,2023-11-10 08:49:16,2583
django-cms,https://github.com/django-cms/django-cms,9583,308,15977,2023-11-09 23:17:56,2999
spug,https://github.com/openspug/spug,9231,8,1215,2023-11-10 19:18:18,1917
gunicorn,https://github.com/benoitc/gunicorn,9226,335,3057,2023-11-10 04:09:02,1700
semgrep,https://github.com/semgrep/semgrep,9011,153,6837,2023-11-10 10:00:06,527
pyroscope,https://github.com/grafana/pyroscope,8725,146,4139,2023-11-10 14:57:47,502
howtographql,https://github.com/howtographql/howtographql,8601,390,2395,2023-11-09 18:27:43,1162
doccano,https://github.com/doccano/doccano,8461,83,3519,2023-11-10 06:58:09,1625
django-allauth,https://github.com/pennersr/django-allauth,8421,408,2956,2023-11-10 09:38:05,2878
content,https://github.com/mdn/content,8281,454,20531,2023-11-11 06:57:40,21012
yugabyte-db,https://github.com/yugabyte/yugabyte-db,8177,290,20474,2023-11-10 20:37:57,989
reference,https://github.com/jaywcjlove/reference,7856,120,1303,2023-11-11 02:32:22,1166
django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,7674,244,2555,2023-11-10 09:03:19,1022
catboost,https://github.com/catboost/catboost,7444,182,47268,2023-11-10 15:58:28,1151
hypothesis,https://github.com/HypothesisWorks/hypothesis,7011,275,13446,2023-11-10 21:19:04,583
WebKit,https://github.com/WebKit/WebKit,6841,297,273710,2023-11-10 15:34:11,1077
web-frameworks,https://github.com/the-benchmarker/web-frameworks,6778,248,4845,2023-11-10 02:14:59,631
healthchecks,https://github.com/healthchecks/healthchecks,6736,81,2832,2023-11-09 17:17:54,730
edx-platform,https://github.com/openedx/edx-platform,6732,242,64536,2023-11-10 02:30:37,3651
404StarLink,https://github.com/knownsec/404StarLink,6628,2,189,2023-11-10 07:35:47,698
NewsBlur,https://github.com/samuelclay/NewsBlur,6559,87,17047,2023-11-09 11:59:29,997
codeql,https://github.com/github/codeql,6509,264,63234,2023-11-10 08:46:11,1508
Proxmox,https://github.com/tteck/Proxmox,6417,44,5701,2023-11-11 01:43:17,1063
django-extensions,https://github.com/django-extensions/django-extensions,6250,378,3621,2023-11-10 09:03:56,1142
isort,https://github.com/PyCQA/isort,6135,258,4162,2023-11-10 09:51:14,593
librephotos,https://github.com/LibrePhotos/librephotos,6116,56,1610,2023-11-10 19:59:21,260
rengine,https://github.com/yogeshojha/rengine,6031,65,3237,2023-11-10 20:15:53,950
flowbite,https://github.com/themesberg/flowbite,5974,49,1961,2023-11-11 05:44:07,642
highlight,https://github.com/highlight/highlight,5952,62,5834,2023-11-10 07:24:47,243
django-oscar,https://github.com/django-oscar/django-oscar,5919,268,9019,2023-11-09 22:41:14,2169
DjangoBlog,https://github.com/liangliangyy/DjangoBlog,5863,17,865,2023-11-10 07:52:23,2534
channels,https://github.com/django/channels,5766,237,1304,2023-11-09 23:51:34,793
graphite-web,https://github.com/graphite-project/graphite-web,5754,314,4328,2023-11-07 12:35:02,1288
cve,https://github.com/trickest/cve,5643,7,986,2023-11-10 09:09:40,716
OnlineJudge,https://github.com/QingdaoU/OnlineJudge,5614,18,1917,2023-11-10 05:30:44,1412
lesspass,https://github.com/lesspass/lesspass,5558,60,2344,2023-11-10 01:02:26,320
cabot,https://github.com/arachnys/cabot,5512,51,735,2023-11-09 08:36:42,629
kbengine,https://github.com/kbengine/kbengine,5329,31,6641,2023-11-10 09:21:38,2374
Archery,https://github.com/hhyo/Archery,5297,95,1953,2023-11-10 07:57:53,1557
django-ninja,https://github.com/vitalik/django-ninja,5171,113,1077,2023-11-10 10:37:48,313
authentik,https://github.com/goauthentik/authentik,5010,206,13522,2023-11-10 05:04:28,396
reconftw,https://github.com/six2dez/reconftw,4839,59,1753,2023-11-10 23:00:43,828
websockets,https://github.com/python-websockets/websockets,4772,62,1364,2023-11-09 17:30:29,500
OpenChat,https://github.com/openchatai/OpenChat,4764,13,450,2023-11-10 21:49:30,721
1earn,https://github.com/ffffffff0x/1earn,4704,2,274,2023-11-11 06:25:12,1110
mezzanine,https://github.com/stephenmcd/mezzanine,4659,263,5304,2023-11-07 12:33:44,1646
serenata-de-amor,https://github.com/okfn-brasil/serenata-de-amor,4486,101,2369,2023-11-10 13:54:54,683
materials,https://github.com/realpython/materials,4466,61,2222,2023-11-09 03:49:21,5305
recipes,https://github.com/TandoorRecipes/recipes,4453,247,5736,2023-11-10 19:44:06,500
w3af,https://github.com/andresriancho/w3af,4355,58,16934,2023-11-09 22:56:22,1215
linkding,https://github.com/sissbruecker/linkding,4203,56,446,2023-11-10 08:56:35,209
Django-Styleguide,https://github.com/HackSoftware/Django-Styleguide,4159,15,206,2023-11-11 09:31:32,442
graphene-django,https://github.com/graphql-python/graphene-django,4155,195,957,2023-11-10 06:13:02,751
django-silk,https://github.com/jazzband/django-silk,4067,132,890,2023-11-09 21:37:54,322
authlib,https://github.com/lepture/authlib,4019,98,1374,2023-11-09 15:57:36,394
weblate,https://github.com/WeblateOrg/weblate,3888,318,62862,2023-11-10 09:30:54,933
django-tastypie,https://github.com/django-tastypie/django-tastypie,3872,170,1293,2023-11-07 14:09:50,1394
pokeapi,https://github.com/PokeAPI/pokeapi,3719,115,1266,2023-11-10 07:12:40,890
Agriculture_KnowledgeGraph,https://github.com/qq547276542/Agriculture_KnowledgeGraph,3650,3,195,2023-11-09 11:18:32,1530
djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,3635,99,626,2023-11-09 10:02:32,629
mercury,https://github.com/mljar/mercury,3586,12,791,2023-11-09 15:33:06,221
strawberry,https://github.com/strawberry-graphql/strawberry,3514,229,3043,2023-11-10 16:11:24,466
django-grappelli,https://github.com/sehmaschine/django-grappelli,3510,64,1924,2023-11-10 12:09:00,654
django-haystack,https://github.com/django-haystack/django-haystack,3489,182,1875,2023-11-07 08:36:48,1310
django-guardian,https://github.com/django-guardian/django-guardian,3472,127,1062,2023-11-08 07:55:30,558
tubearchivist,https://github.com/tubearchivist/tubearchivist,3417,43,1717,2023-11-10 04:11:48,168
GreaterWMS,https://github.com/GreaterWMS/GreaterWMS,3324,12,2174,2023-11-10 12:00:08,847
dynaconf,https://github.com/dynaconf/dynaconf,3286,113,735,2023-11-10 14:34:00,321
oso,https://github.com/osohq/oso,3273,65,1213,2023-11-09 07:29:48,165
flagsmith,https://github.com/Flagsmith/flagsmith,3244,57,3638,2023-11-10 09:23:26,257
