repo_name,repo_url,stars,contributors,commits,update_date,forks
azure-manager,https://github.com/elunez/azure-manager,31,2,25,2023-11-09 03:42:30,14
Super-NFT,https://github.com/SUIBE-Blockchain/Super-NFT,9,3,13,2023-04-10 11:37:19,2
OpenMF,https://github.com/scorelab/OpenMF,122,11,550,2023-12-24 00:39:48,93
hepdata,https://github.com/HEPData/hepdata,38,13,2382,2023-12-08 19:00:34,10
TryScan,https://github.com/telanflow/TryScan,23,0,12,2023-05-15 13:22:40,6
Vessel-app,https://github.com/OpenVessel/Vessel-app,5,7,127,2023-10-08 20:32:47,1
ipmon,https://github.com/mistergates/ipmon,14,0,33,2023-12-15 21:16:27,10
guildbit,https://github.com/alfg/guildbit,51,2,333,2023-07-21 04:19:39,8
Blogin,https://github.com/weijiang1994/Blogin,455,0,920,2023-12-23 03:04:06,114
tipvote_webapp,https://github.com/tipvote/tipvote_webapp,8,2,184,2023-09-29 10:37:11,0
51-read,https://github.com/geekspeng/51-read,7,2,11,2023-08-23 18:02:16,4
market_platform_with_an_authentication-system,https://github.com/younesaitmha/market_platform_with_an_authentication-system,5,2,29,2023-11-12 22:26:48,0
threaddit,https://github.com/StarKhan6368/threaddit,11,0,53,2023-12-20 05:47:15,0
Nope-Yelp,https://github.com/Samsuhhh/Nope-Yelp,7,4,565,2022-11-06 19:45:21,1
Marauders-Website,https://github.com/Marauders-9998/Marauders-Website,5,6,113,2023-12-05 15:45:08,16
morsechat,https://github.com/robalb/morsechat,57,3,588,2023-11-12 21:58:16,5
ikoa-web,https://github.com/mason1901/ikoa-web,59,0,25,2023-09-26 05:44:08,54
foxintheforest,https://github.com/Oripy/foxintheforest,5,2,133,2023-04-13 20:21:25,4
peach-blog,https://github.com/LeetaoGoooo/peach-blog,58,3,121,2023-11-15 09:09:32,9
Hafta,https://github.com/highoncarbs/Hafta,87,2,148,2023-12-18 10:43:31,31
Eventplaner,https://github.com/kentshine/Eventplaner,7,3,83,2023-08-20 18:20:30,0
digital-membership,https://github.com/los-verdes/digital-membership,6,2,855,2023-07-21 09:16:43,0
pyblog,https://github.com/eastossifrage/pyblog,116,0,43,2023-11-05 02:50:38,37
dados-livres,https://github.com/pbaesse/dados-livres,7,5,177,2021-07-25 11:22:21,4
cloud-pcap,https://github.com/thepacketgeek/cloud-pcap,176,2,69,2023-11-16 21:42:22,43
OctoPrint-AstroPrint,https://github.com/AstroPrint/OctoPrint-AstroPrint,28,6,280,2023-12-04 13:41:30,10
knotnpunkt,https://github.com/dpsg-beckum/knotnpunkt,8,3,201,2023-10-08 18:10:39,0
JumpStart,https://github.com/Lazytangent/JumpStart,19,8,612,2023-12-14 14:22:22,3
Hot-News,https://github.com/VintLin/Hot-News,8,0,24,2023-06-01 01:21:25,3
Voughtstagram,https://github.com/davidjettt/Voughtstagram,5,4,373,2023-08-17 02:08:44,1
pystol,https://github.com/pystol/pystol,15,2,373,2023-07-17 18:08:39,3
destiny_focus,https://github.com/AllynH/destiny_focus,5,2,409,2022-12-14 23:16:18,0
DynamicHealthcareConsultingSystem,https://github.com/Ash515/DynamicHealthcareConsultingSystem,8,0,21,2023-08-28 18:35:25,0
hashview,https://github.com/hashview/hashview,323,8,320,2023-12-11 06:17:15,38
mojopi,https://github.com/mojopaa/mojopi,6,0,75,2023-09-19 20:00:43,1
BEM-SIM-App,https://github.com/Stevada/BEM-SIM-App,8,0,26,2021-09-03 19:56:10,1
FaceNet-based-Attendance-System,https://github.com/Madhubalajb/FaceNet-based-Attendance-System,32,0,33,2023-11-28 01:05:27,16
quest-maker,https://github.com/Quest-maker-team/quest-maker,7,5,696,2022-05-07 12:59:01,0
CycleTrack,https://github.com/RunningMSN/CycleTrack,5,3,611,2023-11-20 05:13:16,1
redash,https://github.com/getredash/redash,24302,393,7661,2023-12-24 06:18:32,4223
beakon,https://github.com/RealDudePerson/beakon,6,2,20,2023-12-23 18:38:53,0
tubee,https://github.com/tomy0000000/tubee,11,3,693,2023-03-25 13:14:04,8
confidant,https://github.com/emregeldegul/confidant,24,3,41,2023-04-26 22:54:45,1
prosodic,https://github.com/quadrismegistus/prosodic,251,9,329,2023-12-08 14:41:26,40
pro-guide,https://github.com/Darrenzzy/pro-guide,13,0,178,2023-05-08 18:35:52,6
slurk,https://github.com/clp-research/slurk,15,13,674,2023-11-14 13:06:20,20
read,https://github.com/readsoftware/read,36,5,651,2023-11-08 09:36:01,4
paperboy,https://github.com/timkpaine/paperboy,245,3,343,2023-12-20 03:35:20,26
BikenWeb,https://github.com/QuentinPhilipp/BikenWeb,5,2,169,2023-04-06 05:11:23,1
precision-agriculture-using-machine-learning,https://github.com/atharval1/precision-agriculture-using-machine-learning,14,2,53,2023-12-08 11:57:17,8
connectlearn,https://github.com/0x0elliot/connectlearn,6,0,44,2023-06-01 07:26:42,2
