repo_name,repo_url,stars,contributors,commits,update_date,forks
Wagtail-Pipit,https://github.com/Frojd/Wagtail-Pipit,210,7,1961,2024-01-25 18:03:42,27
evennia,https://github.com/evennia/evennia,1659,172,9394,2024-01-28 22:43:09,666
tubearchivist,https://github.com/tubearchivist/tubearchivist,3417,43,1717,2024-01-27 03:26:23,168
nena,https://github.com/CambridgeSemiticsLab/nena,5,4,283,2023-10-20 18:52:03,0
nerpa,https://github.com/ablab/nerpa,9,4,553,2023-03-02 13:17:18,3
CSC2022,https://github.com/Shelly111111/CSC2022,9,2,98,2022-08-19 07:49:34,0
COVID_JSC,https://github.com/kaylai/COVID_JSC,3,2,1319,2023-11-20 07:07:13,0
modoboa-amavis,https://github.com/modoboa/modoboa-amavis,22,7,210,2023-10-26 08:32:28,16
AprendeAyudando,https://github.com/memoriasIT/AprendeAyudando,3,5,352,2021-09-21 17:09:40,0
RedTeam_toolkit,https://github.com/merlinepedra/RedTeam_toolkit,2,5,266,2022-05-18 22:22:15,0
OSCELOT-DSKTOOL-for-HEROKU,https://github.com/moneil/OSCELOT-DSKTOOL-for-HEROKU,5,3,240,2022-07-06 12:44:56,15
content-manager,https://github.com/betagouv/content-manager,13,6,130,2023-11-16 17:44:30,6
aa-forum,https://github.com/ppfeufer/aa-forum,3,6,1175,2024-01-12 18:40:15,3
FreedomBox,https://github.com/freedombox/FreedomBox,173,223,8450,2024-01-30 01:50:25,108
meow,https://github.com/dailybruin/meow,47,29,575,2023-10-04 01:21:10,11
swppfall2022-team9,https://github.com/swsnu/swppfall2022-team9,6,4,631,2022-12-18 06:31:29,0
noted,https://github.com/welel/noted,107,3,314,2023-06-19 12:01:16,10
cpims-2.3beta,https://github.com/uonafya/cpims-2.3beta,3,14,1060,2021-08-04 07:24:12,3
mentea,https://github.com/Joeyh021/mentea,4,7,414,2022-09-08 21:06:29,1
label-studio,https://github.com/HumanSignal/label-studio,14702,104,3100,2024-01-29 20:17:07,1792
wooks-co-living,https://github.com/wook-s-co-living/wooks-co-living,2,5,174,2023-06-16 07:26:28,1
neoexchange,https://github.com/LCOGT/neoexchange,5,12,5089,2023-12-12 22:34:52,1
skku-coding-platform,https://github.com/skkuding/skku-coding-platform,35,21,943,2023-01-19 15:15:36,3
swpp2019-team12,https://github.com/swsnu/swpp2019-team12,2,6,619,2020-02-18 02:26:32,1
openwisp-monitoring,https://github.com/openwisp/openwisp-monitoring,130,17,531,2024-01-18 20:26:14,87
genesysv,https://github.com/ubccr/genesysv,20,4,506,2021-07-01 20:18:07,6
curate_science,https://github.com/ScienceCommons/curate_science,12,6,946,2022-01-25 16:44:54,6
dino,https://github.com/Uberspace/dino,32,3,332,2023-03-13 11:35:19,6
brasil.io,https://github.com/turicas/brasil.io,877,31,1667,2023-11-06 00:34:16,142
buildly-core,https://github.com/buildlyio/buildly-core,14,13,891,2023-12-07 21:09:40,17
class_otter,https://github.com/PdxCodeGuild/class_otter,3,13,1508,2022-05-03 17:30:58,4
explorer,https://github.com/blockcypher/explorer,959,8,710,2023-11-12 21:34:44,766
modeldb,https://github.com/mcdougallab/modeldb,7,5,259,2023-11-19 03:29:03,1
Appraise,https://github.com/cfedermann/Appraise,73,3,767,2021-05-07 12:09:48,37
ilp,https://github.com/klpdotorg/ilp,3,12,4500,2022-11-11 10:39:28,3
localcontexts_db,https://github.com/biocodellc/localcontexts_db,6,7,2910,2024-01-25 17:21:59,2
tator,https://github.com/cvisionai/tator,87,12,10325,2024-01-23 01:46:08,30
Noethysweb,https://github.com/Noethys/Noethysweb,3,4,1321,2024-01-29 07:17:03,4
reBOOT,https://github.com/CodeTheChangeUBC/reBOOT,13,12,838,2024-01-21 23:50:48,3
upkoding,https://github.com/upkoding/upkoding,71,5,283,2022-09-27 13:21:35,22
odprti-racuni,https://github.com/danesjenovdan/odprti-racuni,2,5,338,2023-07-27 10:30:43,0
it326-tutoring-app,https://github.com/Shinobs11/it326-tutoring-app,4,4,198,2022-12-07 01:37:57,0
quantified-flu,https://github.com/OpenHumans/quantified-flu,24,6,316,2020-08-05 13:37:09,4
MediLeaf_backend,https://github.com/surajkarki66/MediLeaf_backend,2,2,182,2024-01-11 15:47:50,0
geniza,https://github.com/Princeton-CDH/geniza,10,9,4376,2024-01-25 17:57:17,3
OpenContracts,https://github.com/JSv4/OpenContracts,32,2,169,2023-09-13 04:47:47,5
Labs,https://github.com/rodoaravena/Labs,2,6,254,2023-10-02 12:55:11,6
Mood-Music,https://github.com/DynamicGenetics/Mood-Music,2,2,285,2022-11-04 16:02:49,0
studentutor,https://github.com/UsamaKashif/studentutor,8,2,99,2022-05-23 19:38:07,3
hpc-toolkit,https://github.com/GoogleCloudPlatform/hpc-toolkit,125,41,4609,2023-11-07 23:31:08,80
