repo_name,repo_url,stars,contributors,commits,update_date,forks
COMP333-DB-Project,https://github.com/ibraheemalayan/COMP333-DB-Project,4,3,162,2023-02-06 21:19:00,2
4cat,https://github.com/digitalmethodsinitiative/4cat,203,12,3613,2024-01-24 16:29:40,49
scoringengine,https://github.com/scoringengine/scoringengine,113,11,1797,2023-12-28 22:40:07,45
traffy,https://github.com/FalkAlexander/traffy,5,3,281,2021-10-31 20:43:49,3
fresko,https://github.com/granolaameobi/fresko,1,6,356,2023-08-11 14:03:27,3
Chewie-NS,https://github.com/B-UMMI/Chewie-NS,5,6,663,2023-11-03 17:08:21,0
anya-etsy,https://github.com/andreazwu/anya-etsy,3,4,379,2022-11-20 18:34:10,3
flowintel-cm,https://github.com/flowintel/flowintel-cm,9,3,220,2024-01-29 10:09:11,0
FinanceCenter,https://github.com/doncat99/FinanceCenter,41,2,189,2023-08-17 09:27:34,17
zwift-offline,https://github.com/zoffline/zwift-offline,450,17,1129,2024-01-26 00:21:17,91
r3it,https://github.com/dpinney/r3it,3,5,725,2024-01-28 23:59:54,0
OpenMF,https://github.com/scorelab/OpenMF,122,11,550,2022-09-05 07:18:36,93
anyway,https://github.com/data-for-change/anyway,72,105,4055,2024-01-28 18:21:38,241
cube-studio,https://github.com/tencentmusic/cube-studio,1655,28,850,2024-01-15 07:39:48,424
notification-admin,https://github.com/cds-snc/notification-admin,17,64,10316,2024-01-25 21:14:37,12
mian,https://github.com/tbj128/mian,2,3,214,2023-04-11 07:31:36,4
DeepBI,https://github.com/DeepInsight-AI/DeepBI,71,5,613,2024-01-23 11:53:21,9
emhub,https://github.com/3dem/emhub,6,3,792,2022-11-15 02:29:17,2
geo2enrichr,https://github.com/MaayanLab/geo2enrichr,12,3,568,2022-04-15 15:07:07,6
platform,https://github.com/IntertwineIO/platform,4,3,774,2020-08-16 03:32:05,1
BhagavadGita,https://github.com/gita/BhagavadGita,160,6,936,2022-06-02 12:10:36,24
queue-management,https://github.com/bcgov/queue-management,42,29,3683,2023-12-14 23:44:55,54
Vessel-app,https://github.com/OpenVessel/Vessel-app,5,7,127,2022-01-16 23:18:49,1
octane,https://github.com/techfreaque/octane,8,2,132,2023-10-14 12:44:13,7
next-gen-scholars,https://github.com/hack4impact-upenn/next-gen-scholars,7,12,497,2020-06-21 22:18:45,1
FlowKit,https://github.com/Flowminder/FlowKit,85,15,12608,2024-01-22 10:58:37,20
academics,https://github.com/LCBRU/academics,2,2,1763,2024-01-26 17:08:43,0
Mycodo,https://github.com/eric-erki/Mycodo,1,21,5353,2021-01-07 02:07:36,2
epayments,https://github.com/nycrecords/epayments,1,11,701,2023-08-11 18:55:11,1
Vibeful-Spotify-Clone,https://github.com/span9692/Vibeful-Spotify-Clone,2,4,379,2022-01-25 22:01:01,0
throat,https://github.com/Phuks-co/throat,72,21,3630,2023-09-14 15:34:00,33
iris-web,https://github.com/dfir-iris/iris-web,850,20,2845,2024-01-19 12:04:37,121
tipvote_webapp,https://github.com/tipvote/tipvote_webapp,8,2,184,2021-10-18 14:32:58,0
coopforecast,https://github.com/dpinney/coopforecast,3,2,402,2022-10-12 20:52:39,1
conp-portal,https://github.com/CONP-PCNO/conp-portal,8,22,1508,2024-01-11 17:38:54,26
EvoPIE,https://github.com/cereal-lab/EvoPIE,1,6,784,2023-07-25 17:27:35,0
scout,https://github.com/Clinical-Genomics/scout,134,30,9915,2024-01-29 08:22:14,42
HOLOGRAM,https://github.com/madilippmann/HOLOGRAM,2,3,686,2022-11-11 05:40:23,1
Nope-Yelp,https://github.com/Samsuhhh/Nope-Yelp,7,4,565,2022-11-09 20:07:10,1
eNMS,https://github.com/eNMS-automation/eNMS,785,21,15424,2024-01-14 10:09:48,152
progetto-clup-1-gruppo-clup-1,https://github.com/UnimibSoftEngCourse2022/progetto-clup-1-gruppo-clup-1,1,4,384,2022-10-19 12:41:52,0
FACT_core,https://github.com/fkie-cad/FACT_core,1119,29,5264,2024-01-23 07:43:28,219
cep,https://github.com/cortictechnology/cep,158,3,149,2022-05-17 16:52:20,22
MDP,https://github.com/vernfongchao/MDP,3,5,352,2023-02-06 03:36:04,0
-Second-hand-commodity-trading-platform,https://github.com/Wei-Qi/-Second-hand-commodity-trading-platform,3,3,383,2022-06-14 16:12:26,0
MyLists,https://github.com/Crossoufire/MyLists,12,2,925,2023-11-07 21:19:41,4
GT-Covid19-Atendimento,https://github.com/CarlosEduAC/GT-Covid19-Atendimento,5,8,326,2021-01-17 00:09:40,6
EcoMap,https://github.com/lhalam/EcoMap,4,11,2209,2020-11-09 20:59:32,16
Mycodo,https://github.com/kizniche/Mycodo,2737,49,6720,2024-01-28 23:49:00,459
authbackend,https://github.com/makeitlabs/authbackend,3,5,540,2022-12-29 21:12:57,2
yublog,https://github.com/yokonsan/yublog,168,3,290,2023-05-16 07:47:47,54
abilian-sbe-monorepo,https://github.com/abilian/abilian-sbe-monorepo,3,2,433,2024-01-23 09:12:49,1
analysispreservation.cern.ch,https://github.com/cernanalysispreservation/analysispreservation.cern.ch,42,23,2126,2024-01-08 13:09:12,29
intranet,https://github.com/nycrecords/intranet,3,10,469,2023-09-12 19:40:33,1
monkey,https://github.com/guardicore/monkey,6394,50,18844,2024-01-22 15:47:17,775
diet-management,https://github.com/minerva-university/diet-management,1,7,220,2023-04-21 17:17:06,0
bam_annotation_tool,https://github.com/bonn-activity-maps/bam_annotation_tool,3,4,1206,2021-08-31 15:05:50,1
alarmdecoder-webapp,https://github.com/nutechsoftware/alarmdecoder-webapp,48,16,951,2021-05-16 05:10:26,45
ducksy,https://github.com/MattKleinsmith/ducksy,3,3,518,2023-11-04 22:21:44,1
Hafta,https://github.com/highoncarbs/Hafta,87,2,148,2021-03-02 19:33:21,31
bunkerweb,https://github.com/bunkerity/bunkerweb,3222,21,3402,2024-01-12 11:53:59,210
dofuslab,https://github.com/dofuslab/dofuslab,62,13,948,2024-01-29 05:53:24,23
conbench,https://github.com/conbench/conbench,95,19,902,2024-01-29 17:47:06,20
pass-culture-main,https://github.com/pass-culture/pass-culture-main,90,118,34515,2024-01-29 12:06:08,33
pia-lara,https://github.com/PIALARA/pia-lara,5,15,251,2024-01-14 18:40:49,10
site-secomp,https://github.com/secompufscar/site-secomp,11,17,2731,2023-07-06 02:44:52,9
overhave,https://github.com/livestreamx/overhave,9,22,1424,2024-01-20 14:56:25,22
yamz,https://github.com/metadata-research/yamz,5,8,1255,2023-08-28 10:58:06,2
shopyo,https://github.com/shopyo/shopyo,73,62,1176,2023-08-31 00:36:29,26
OpenPLC_v3,https://github.com/thiagoralves/OpenPLC_v3,870,20,294,2024-01-24 20:09:40,379
ServerContainers,https://github.com/philleconnect/ServerContainers,1,3,230,2022-05-02 08:17:57,0
123tools-unlock,https://github.com/3e4r5t6y/123tools-unlock,6,31,1963,2023-05-12 08:58:21,112
API-1Semestre,https://github.com/Grupo-4-Fatech/API-1Semestre,2,8,311,2021-12-29 01:24:33,2
incubator-datalab,https://github.com/apache/incubator-datalab,154,40,13264,2023-06-15 09:46:34,63
Project-Guidance,https://github.com/Kushal997-das/Project-Guidance,367,113,2415,2024-01-12 17:01:05,230
cleanstagram,https://github.com/rollingferret/cleanstagram,1,4,444,2023-07-30 19:54:41,0
t5g-field-support-team-utils,https://github.com/RHsyseng/t5g-field-support-team-utils,6,4,658,2024-01-26 18:30:20,5
chicagodir,https://github.com/tewhalen/chicagodir,2,2,140,2022-11-16 15:14:38,0
apacheairflow,https://github.com/aatmdev/apacheairflow,1,378,9151,2020-06-26 18:40:30,0
pervane,https://github.com/hakanu/pervane,201,4,225,2023-08-03 21:44:59,11
TasteWaste,https://github.com/ChadCalcote/TasteWaste,13,6,261,2021-03-15 17:06:42,0
StudyHub,https://github.com/TheTrustyPwo/StudyHub,4,3,365,2023-12-02 17:10:14,0
pillar,https://github.com/armadillica/pillar,31,6,2406,2020-07-29 20:52:32,4
cse442-spring2022-team-APlus,https://github.com/xlab-classes/cse442-spring2022-team-APlus,1,6,171,2022-05-10 00:07:18,0
dados-livres,https://github.com/pbaesse/dados-livres,7,5,177,2020-11-04 05:08:04,4
weave,https://github.com/razzius/weave,7,5,945,2023-08-29 19:18:19,2
recordexpungPDX,https://github.com/codeforpdx/recordexpungPDX,47,46,2086,2024-01-12 18:31:02,88
cartographie-donnees,https://github.com/dnum-mi/cartographie-donnees,15,7,529,2023-01-20 13:01:14,6
mxcubeweb,https://github.com/mxcube/mxcubeweb,20,23,4901,2024-01-25 16:53:58,35
ase-GoOutSafe-s4,https://github.com/federicosilvestri/ase-GoOutSafe-s4,1,6,489,2020-11-06 10:16:29,0
2018-PyDash.io,https://github.com/RUGSoftEng/2018-PyDash.io,5,10,1387,2020-09-05 13:09:00,2
BreadType,https://github.com/Sothatsit/BreadType,1,3,137,2020-05-25 15:44:09,0
MOSP,https://github.com/NC3-LU/MOSP,74,4,1254,2024-01-20 23:00:37,5
agrosys,https://github.com/szkkteam/agrosys,3,2,499,2022-04-16 16:19:59,0
CS5412-MEng-Project,https://github.com/hzzyh1229/CS5412-MEng-Project,2,3,162,2022-12-08 21:39:29,1
opac_5,https://github.com/scieloorg/opac_5,1,19,1970,2024-01-26 16:09:46,5
lookyloo,https://github.com/Lookyloo/lookyloo,607,13,2062,2024-01-26 14:03:36,74
pystol,https://github.com/pystol/pystol,15,2,373,2020-06-25 17:39:00,3
destiny_focus,https://github.com/AllynH/destiny_focus,5,2,409,2023-08-18 14:45:42,0
INFOX,https://github.com/FORCOLAB-UofT/INFOX,23,14,605,2023-04-23 04:07:11,17
xtcryptosignals,https://github.com/pantunes/xtcryptosignals,62,3,898,2024-01-16 16:42:31,19
go-links,https://github.com/trotto/go-links,281,13,262,2024-01-11 01:02:27,58
otterwiki,https://github.com/redimp/otterwiki,51,4,562,2024-01-24 21:00:58,7
opentera,https://github.com/introlab/opentera,17,6,2267,2023-11-07 14:37:37,8
incubator-superset-internal,https://github.com/dropbox/incubator-superset-internal,11,427,14336,2024-01-11 19:44:12,11
mini_fiction,https://github.com/andreymal/mini_fiction,9,2,1423,2023-12-26 11:03:09,2
openmoves,https://github.com/bwaldvogel/openmoves,23,4,414,2023-03-03 09:28:03,7
Wiregate,https://github.com/NOXCIS/Wiregate,157,3,530,2024-01-04 01:47:18,2
BrAinPI,https://github.com/CBI-PITT/BrAinPI,5,3,215,2023-10-17 20:53:21,1
changedetection.io,https://github.com/dgtlmoon/changedetection.io,13572,63,1367,2024-01-29 13:20:39,755
timeclock,https://github.com/nycrecords/timeclock,1,9,790,2023-06-13 18:46:30,1
hashview,https://github.com/hashview/hashview,323,8,320,2023-11-01 15:33:27,38
ClapBot,https://github.com/alexrudy/ClapBot,1,2,175,2021-03-26 21:38:41,0
OpenAtlas,https://github.com/craws/OpenAtlas,60,14,6965,2024-01-27 14:32:13,17
quest-maker,https://github.com/Quest-maker-team/quest-maker,7,5,696,2023-04-01 02:35:33,0
proofofconcept,https://github.com/allofphysicsgraph/proofofconcept,18,5,1451,2023-12-20 11:55:02,6
SlothAI,https://github.com/FeatureBaseDB/SlothAI,2,2,348,2023-12-08 17:46:55,1
aesopstables,https://github.com/Chemscribbler/aesopstables,1,5,183,2024-01-15 19:32:25,7
poetry-galore,https://github.com/bryokim/poetry-galore,1,2,126,2023-11-15 19:48:05,0
CycleTrack,https://github.com/RunningMSN/CycleTrack,5,3,611,2024-01-07 19:05:35,1
redash,https://github.com/getredash/redash,24302,393,7661,2024-01-18 11:50:27,4223
bitcoin-acks,https://github.com/PierreRochard/bitcoin-acks,19,5,306,2020-11-02 19:04:55,7
discord-clone,https://github.com/cathalpaz/discord-clone,4,4,601,2023-09-25 01:08:23,3
tpf1,https://github.com/crazynayan/tpf1,3,3,1002,2023-11-30 15:10:12,0
tubee,https://github.com/tomy0000000/tubee,11,3,693,2023-01-01 07:57:44,8
prosodic,https://github.com/quadrismegistus/prosodic,251,9,329,2023-12-11 03:52:34,40
meetings-registration-tool,https://github.com/eaudeweb/meetings-registration-tool,5,11,1401,2021-03-23 11:12:32,3
REVA_Events,https://github.com/sharananurag998/REVA_Events,4,5,249,2020-05-22 11:09:22,3
rignite,https://github.com/nathanrobertbaldwin/rignite,1,4,320,2024-01-27 20:18:44,0
sarna,https://github.com/rsrdesarrollo/sarna,40,5,201,2023-07-11 09:07:05,16
flexmeasures,https://github.com/FlexMeasures/flexmeasures,122,14,1130,2024-01-23 11:12:35,25
umalat,https://github.com/nkrokhmal/umalat,2,3,2254,2024-01-23 15:32:32,0
ThisIGet,https://github.com/airladon/ThisIGet,5,3,3384,2021-10-29 16:14:02,0
inasafe,https://github.com/inasafe/inasafe,247,48,16012,2023-10-28 12:15:13,136
spectral_line_detection_database,https://github.com/UladzimirTreihis/spectral_line_detection_database,1,6,364,2023-08-02 05:42:43,0
human,https://github.com/uds-lsv/human,8,4,219,2022-12-27 11:49:24,3
VSOURCE_FACE_PLATFORM,https://github.com/VSOURCE-Platform/VSOURCE_FACE_PLATFORM,7,2,125,2021-08-01 13:12:45,0
SAE-PROJET-S3,https://github.com/jordanlavenant/SAE-PROJET-S3,1,5,599,2023-12-22 21:08:45,1
spicebank,https://github.com/https-github-com-spicecorpdev/spicebank,6,7,377,2022-11-28 11:58:06,0
APISap,https://github.com/HUCTF/APISap,8,6,321,2020-08-11 15:08:40,5
abilian-core,https://github.com/abilian/abilian-core,46,10,3623,2023-06-27 17:16:15,11
abilian-sbe,https://github.com/abilian/abilian-sbe,66,8,1699,2021-08-09 19:49:11,9
dataverse,https://github.com/DinoHub/dataverse,1,8,580,2023-07-28 09:14:51,0
zesje,https://github.com/zesje/zesje,9,29,3883,2023-11-22 10:59:47,1
ada2025,https://github.com/dvolk/ada2025,1,5,910,2023-11-21 16:33:22,0
Petsy,https://github.com/nickhosman/Petsy,3,6,401,2023-12-04 22:29:02,0
Gamified-Learning-Platform,https://github.com/DSC-McMaster-U/Gamified-Learning-Platform,4,11,209,2024-01-28 22:16:57,10
slurk,https://github.com/clp-research/slurk,15,13,674,2023-12-08 09:42:25,20
read,https://github.com/readsoftware/read,36,5,651,2023-01-22 00:25:05,4
patron,https://github.com/JeffVandrewJr/patron,122,2,638,2020-11-10 17:58:36,21
gundns-admin,https://github.com/nicelizhi/gundns-admin,3,128,1670,2023-10-22 10:18:32,0
AI4Green,https://github.com/AI4Green/AI4Green,9,5,220,2024-01-29 09:18:20,1
labs-tools-Isa,https://github.com/wikimedia/labs-tools-Isa,8,13,535,2023-07-27 11:28:32,4
paperboy,https://github.com/timkpaine/paperboy,245,3,343,2022-02-02 18:57:50,26
apollo,https://github.com/nditech/apollo,14,9,4597,2023-12-19 19:36:57,9
indieweb-search,https://github.com/capjamesg/indieweb-search,22,2,278,2023-10-25 19:23:50,2
Swizzl-Py,https://github.com/JaganKaartik/Swizzl-Py,2,3,199,2021-06-15 23:09:15,0
UNO-CSLC-Ticket-Portal,https://github.com/CSLC-Portal/UNO-CSLC-Ticket-Portal,4,4,135,2023-06-04 20:30:37,3
RocoLib,https://github.com/javigallostra/RocoLib,8,5,1033,2023-10-08 17:30:51,2
Squeal,https://github.com/amanduhkv/Squeal,5,4,592,2023-09-02 23:05:06,0
vs-tabletop,https://github.com/imr-framework/vs-tabletop,7,3,211,2023-12-11 12:24:30,2
aid-transparency-tracker,https://github.com/pwyf/aid-transparency-tracker,10,10,4425,2024-01-26 15:34:53,6
project-epsilon,https://github.com/UTSCCSCC01/project-epsilon,2,12,468,2021-08-17 19:34:35,3
nas-tools,https://github.com/receyuki/nas-tools,403,54,5608,2023-02-12 01:54:38,854
nas-tools,https://github.com/zdm9981/nas-tools,2,55,5638,2023-02-13 13:59:35,39
avred,https://github.com/dobin/avred,254,4,538,2023-09-30 12:28:40,32
nastools-v3u,https://github.com/KleinerSource/nastools-v3u,15,32,1989,2023-05-17 04:10:13,9
gapps,https://github.com/bmarsh9/gapps,258,2,168,2024-01-12 17:42:55,58
Pryno,https://github.com/quan-digital/Pryno,16,4,146,2021-08-10 22:18:29,8
Stack-Lifecycle-Deployment,https://github.com/D10S0VSkY-OSS/Stack-Lifecycle-Deployment,198,2,560,2024-01-19 19:26:01,30
gap-whistleblower-db,https://github.com/hack4impact-upenn/gap-whistleblower-db,4,4,170,2021-11-08 06:57:56,1
shopcube,https://github.com/Abdur-rahmaanJ/shopcube,249,20,221,2023-02-06 21:45:50,123
notifications-admin,https://github.com/GSA/notifications-admin,7,53,14203,2024-01-26 21:48:40,2
pengin-pi,https://github.com/Pengin-Open-Source/pengin-pi,7,10,215,2023-11-09 23:35:59,1
EHR,https://github.com/SZTankWang/EHR,3,4,323,2020-12-17 15:31:29,2
mutnmt,https://github.com/Prompsit/mutnmt,16,5,593,2023-06-10 06:32:15,3
cmdb,https://github.com/veops/cmdb,1045,14,648,2024-01-26 05:57:36,296
object_database,https://github.com/APrioriInvestments/object_database,5,10,2396,2023-10-06 17:25:02,1
Craftsy-Etsy-Clone,https://github.com/wtorresjr/Craftsy-Etsy-Clone,3,5,762,2024-01-23 06:09:53,0
gitlab-tools,https://github.com/Salamek/gitlab-tools,97,4,264,2023-12-26 17:54:29,15
meltano,https://github.com/aroder/meltano,8,24,7404,2020-05-26 18:20:58,1
