repo_name,repo_url,stars,contributors,commits,update_date,forks
superset,https://github.com/apache/superset,55878,429,14299,2023-12-24 12:32:35,11989
airflow,https://github.com/apache/airflow,32824,419,22536,2023-12-24 07:33:08,13294
redash,https://github.com/getredash/redash,24302,391,7646,2023-12-24 06:18:32,4223
changedetection.io,https://github.com/dgtlmoon/changedetection.io,13572,59,1323,2023-12-24 03:08:28,755
dify,https://github.com/langgenius/dify,12727,63,909,2023-12-24 08:15:49,1684
walle-web,https://github.com/meolu/walle-web,11727,44,1206,2023-12-22 07:13:12,2768
calibre-web,https://github.com/janeczku/calibre-web,10682,204,3968,2023-12-24 03:34:07,1185
byob,https://github.com/malwaredllc/byob,8638,26,763,2023-12-24 04:14:33,2118
flasky,https://github.com/miguelgrinberg/flasky,8330,0,62,2023-12-23 11:52:34,4245
OctoPrint,https://github.com/OctoPrint/OctoPrint,7789,237,8837,2023-12-24 10:48:38,1686
monkey,https://github.com/guardicore/monkey,6394,50,18525,2023-12-22 16:11:49,775
isort,https://github.com/PyCQA/isort,6178,258,4158,2023-12-24 10:15:30,598
knowledge-repo,https://github.com/airbnb/knowledge-repo,5400,55,1329,2023-12-22 09:39:14,711
Flask-SocketIO,https://github.com/miguelgrinberg/Flask-SocketIO,5195,61,468,2023-12-23 23:30:54,908
materials,https://github.com/realpython/materials,4524,61,2198,2023-12-24 05:20:03,5319
cookiecutter-flask,https://github.com/cookiecutter-flask/cookiecutter-flask,4464,62,1870,2023-12-23 18:49:28,753
Flask-AppBuilder,https://github.com/dpgaspar/Flask-AppBuilder,4410,166,3943,2023-12-22 17:35:26,1361
microblog,https://github.com/miguelgrinberg/microblog,4322,0,25,2023-12-24 05:54:13,1543
app,https://github.com/simple-login/app,4321,42,4729,2023-12-23 19:38:32,383
ckan,https://github.com/ckan/ckan,4123,281,25513,2023-12-24 10:14:33,1962
pony,https://github.com/ponyorm/pony,3374,26,4024,2023-12-24 04:09:09,238
oso,https://github.com/osohq/oso,3321,64,1209,2023-12-21 11:42:21,169
bunkerweb,https://github.com/bunkerity/bunkerweb,3222,21,3126,2023-12-24 02:07:21,210
archivy,https://github.com/archivy/archivy,3107,23,561,2023-12-23 12:38:52,110
flask-base,https://github.com/hack4impact/flask-base,2943,30,391,2023-12-22 19:14:47,473
fullstackpython.com,https://github.com/mattmakai/fullstackpython.com,2826,60,3462,2023-12-23 02:43:06,631
LogonTracer,https://github.com/JPCERTCC/LogonTracer,2540,9,201,2023-12-24 04:07:22,452
flaskbb,https://github.com/flaskbb/flaskbb,2480,57,1961,2023-12-23 18:11:04,638
timesketch,https://github.com/google/timesketch,2418,106,3168,2023-12-21 22:06:51,560
python-api-tesing,https://github.com/china-testing/python-api-tesing,2318,0,228,2023-12-21 02:36:15,923
quay,https://github.com/quay/quay,2300,85,11936,2023-12-23 23:41:41,261
PowerDNS-Admin,https://github.com/PowerDNS-Admin/PowerDNS-Admin,2214,127,1645,2023-12-24 06:52:13,625
cve-search,https://github.com/cve-search/cve-search,2142,56,2635,2023-12-21 14:05:53,588
automatic-ripping-machine,https://github.com/automatic-ripping-machine/automatic-ripping-machine,2081,51,2289,2023-12-24 06:57:27,273
coco-annotator,https://github.com/jsbroks/coco-annotator,1946,34,324,2023-12-23 13:41:50,435
pgadmin4,https://github.com/pgadmin-org/pgadmin4,1800,116,6808,2023-12-23 14:17:57,539
fbone,https://github.com/imwilsonxu/fbone,1710,5,62,2023-12-23 11:43:46,260
helloflask,https://github.com/greyli/helloflask,1700,12,370,2023-12-23 06:00:53,2467
explore-flask,https://github.com/rpicard/explore-flask,1694,21,102,2023-12-18 15:46:01,202
cube-studio,https://github.com/tencentmusic/cube-studio,1655,28,842,2023-12-23 07:54:23,424
Flexget,https://github.com/Flexget/Flexget,1645,320,16211,2023-12-23 00:04:20,478
flask-security,https://github.com/mattupstate/flask-security,1618,107,932,2023-12-20 03:05:10,515
