repo_url,stars,forks
https://github.com/binux/pyspider,16090,3726
https://github.com/dgtlmoon/changedetection.io,12871,716
https://github.com/janeczku/calibre-web,10314,1159
https://github.com/langgenius/dify,9426,1390
https://github.com/OctoPrint/OctoPrint,7693,1667
https://github.com/flask-admin/flask-admin,5503,1566
https://github.com/Mailu/Mailu,4963,759
https://github.com/infobyte/faraday,4270,852
https://github.com/ckan/ckan,4073,1947
https://github.com/UndeadSec/SocialFish,3666,1243
https://github.com/fossasia/open-event-server,2913,1888
https://github.com/kizniche/Mycodo,2686,456
https://github.com/cider-security-research/cicd-goat,1670,226
https://github.com/getsentry/sentry-python,1643,459
https://github.com/pinterest/querybook,1565,200
https://github.com/fossasia/open-event-legacy,1468,42
https://github.com/diyhue/diyHue,1432,260
https://github.com/ctf-wiki/ctf-challenges,1327,433
https://github.com/nccgroup/house,1267,209
https://github.com/OpnTec/open-event-server,1225,4
https://github.com/dongweiming/web_develop,1201,537
https://github.com/thiagoralves/OpenPLC_v3,842,372
https://github.com/cryptoadvance/specter-desktop,759,238
https://github.com/jhpyle/docassemble,679,241
https://github.com/Lookyloo/lookyloo,601,72
https://github.com/AdamGold/Dryvo,597,127
https://github.com/gae-init/gae-init,538,131
https://github.com/USTC-Hackergame/hackergame2021-writeups,444,80
https://github.com/DataDog/dd-trace-py,443,415
https://github.com/GT4SD/gt4sd-core,271,57
https://github.com/lattebank/airflow-dag-creation-manager-plugin,261,89
https://github.com/armadillica/flamenco,256,53
https://github.com/timkpaine/paperboy,242,27
https://github.com/fedora-infra/anitya,219,93
https://github.com/pandora-analysis/pandora,217,31
https://github.com/miguelgrinberg/aioflask,200,16
https://github.com/tillsteinbach/VWsFriend,180,13
https://github.com/RansomLook/RansomLook,167,29
https://github.com/roramirez/qpanel,164,105
https://github.com/amirotin/Kinopoisk.bundle,159,41
https://github.com/mardix/assembly,159,7
https://github.com/titipata/detecting-scientific-claim,140,19
https://github.com/gil9red/SimplePyScripts,139,34
https://github.com/passiomatic/coldsweat,129,20
https://github.com/chakki-works/chABSA-dataset,128,9
https://github.com/valhuber/ApiLogicServer,125,22
https://github.com/teal33t/poopak,122,30
https://github.com/Drakkar-Software/OctoBot-Tentacles,113,67
https://github.com/cpmarvin/lnetd,113,12
https://github.com/dpinney/omf,110,61
https://github.com/misakar/mana,103,17
https://github.com/EdwardBetts/osm-wikidata,99,20
