repo_name,repo_url,stars,contributors,commits,update_date,forks
pyspider,https://github.com/binux/pyspider,16138,51,1181,2023-12-23 10:10:42,3733
changedetection.io,https://github.com/dgtlmoon/changedetection.io,13572,63,1367,2023-12-23 17:35:58,755
dify,https://github.com/langgenius/dify,12613,74,1173,2023-12-23 18:22:11,1676
calibre-web,https://github.com/janeczku/calibre-web,10679,205,3982,2023-12-23 16:46:43,1185
OctoPrint,https://github.com/OctoPrint/OctoPrint,7787,237,8837,2023-12-23 17:59:46,1686
flask-admin,https://github.com/flask-admin/flask-admin,5537,296,3087,2023-12-22 09:17:44,1568
Mailu,https://github.com/Mailu/Mailu,5089,185,4650,2023-12-23 02:07:24,769
faraday,https://github.com/infobyte/faraday,4331,40,12152,2023-12-23 00:53:51,863
ckan,https://github.com/ckan/ckan,4122,282,25535,2023-12-23 17:12:03,1962
SocialFish,https://github.com/UndeadSec/SocialFish,3714,15,248,2023-12-22 07:35:30,1254
flask-login,https://github.com/maxcountryman/flask-login,3442,102,530,2023-12-23 08:54:00,800
open-event-server,https://github.com/fossasia/open-event-server,2929,218,8652,2023-12-23 16:42:38,1899
Mycodo,https://github.com/kizniche/Mycodo,2737,49,6720,2023-12-23 13:33:39,459
cicd-goat,https://github.com/cider-security-research/cicd-goat,1709,11,65,2023-12-22 20:30:28,236
sentry-python,https://github.com/getsentry/sentry-python,1670,193,2065,2023-12-20 03:32:43,468
querybook,https://github.com/pinterest/querybook,1595,47,943,2023-12-23 10:14:22,205
diyHue,https://github.com/diyhue/diyHue,1464,99,1757,2023-12-23 04:54:28,270
ctf-challenges,https://github.com/ctf-wiki/ctf-challenges,1356,17,147,2023-12-22 23:51:21,434
house,https://github.com/nccgroup/house,1275,6,70,2023-12-19 08:28:26,213
web_develop,https://github.com/dongweiming/web_develop,1203,8,67,2023-11-30 13:30:44,537
OpenPLC_v3,https://github.com/thiagoralves/OpenPLC_v3,870,20,294,2023-12-22 18:21:08,379
specter-desktop,https://github.com/cryptoadvance/specter-desktop,763,96,1976,2023-12-23 14:57:09,240
docassemble,https://github.com/jhpyle/docassemble,699,30,4104,2023-12-23 06:43:53,242
feedi,https://github.com/facundoolano/feedi,622,3,408,2023-12-23 17:37:10,15
lookyloo,https://github.com/Lookyloo/lookyloo,607,13,2062,2023-12-20 03:24:56,74
Dryvo,https://github.com/AdamGold/Dryvo,597,0,431,2023-12-20 03:59:31,128
flask-security,https://github.com/Flask-Middleware/flask-security,572,145,1354,2023-12-20 03:14:36,143
gae-init,https://github.com/gae-init/gae-init,536,21,3045,2023-12-20 03:06:14,131
dd-trace-py,https://github.com/DataDog/dd-trace-py,456,227,6463,2023-12-22 02:32:18,426
hackergame2021-writeups,https://github.com/USTC-Hackergame/hackergame2021-writeups,447,56,165,2023-12-16 14:06:40,79
gt4sd-core,https://github.com/GT4SD/gt4sd-core,283,16,283,2023-12-20 04:09:51,60
flamenco,https://github.com/armadillica/flamenco,257,17,1971,2023-11-21 12:06:57,53
paperboy,https://github.com/timkpaine/paperboy,245,3,343,2023-12-20 03:35:20,26
pandora,https://github.com/pandora-analysis/pandora,224,13,814,2023-12-22 18:48:52,34
anitya,https://github.com/fedora-infra/anitya,222,73,2535,2023-12-09 12:32:46,93
aioflask,https://github.com/miguelgrinberg/aioflask,201,0,45,2023-12-08 14:56:37,16
VWsFriend,https://github.com/tillsteinbach/VWsFriend,189,4,1296,2023-12-19 04:11:43,16
RansomLook,https://github.com/RansomLook/RansomLook,178,4,418,2023-12-19 15:02:37,34
qpanel,https://github.com/roramirez/qpanel,167,12,746,2023-11-28 10:37:19,106
Kinopoisk.bundle,https://github.com/amirotin/Kinopoisk.bundle,160,9,146,2023-12-16 14:41:54,41
SimplePyScripts,https://github.com/gil9red/SimplePyScripts,142,7,7545,2023-12-06 06:16:15,35
detecting-scientific-claim,https://github.com/titipata/detecting-scientific-claim,140,3,114,2023-12-20 03:32:28,19
coldsweat,https://github.com/passiomatic/coldsweat,132,4,436,2023-12-19 15:25:41,20
ApiLogicServer,https://github.com/valhuber/ApiLogicServer,125,3,2548,2023-10-05 04:58:36,22
poopak,https://github.com/teal33t/poopak,124,2,105,2023-12-16 12:04:27,30
OctoBot-Tentacles,https://github.com/Drakkar-Software/OctoBot-Tentacles,114,10,2055,2023-12-03 00:44:55,68
lnetd,https://github.com/cpmarvin/lnetd,114,0,146,2023-12-19 08:35:22,12
omf,https://github.com/dpinney/omf,111,43,7839,2023-12-13 15:56:58,62
osm-wikidata,https://github.com/EdwardBetts/osm-wikidata,100,8,2355,2023-12-07 14:49:45,20
python,https://github.com/on-nix/python,100,7,2472,2023-12-15 02:51:33,46
Crack-O-Matic,https://github.com/AdrianVollmer/Crack-O-Matic,99,0,59,2023-12-16 02:00:43,3
blenderkit,https://github.com/BlenderKit/blenderkit,97,17,1155,2023-12-19 18:25:56,16
conbench,https://github.com/conbench/conbench,95,19,902,2023-12-20 04:00:34,20
ThreatKB,https://github.com/InQuest/ThreatKB,90,14,1228,2023-12-13 06:14:41,18
AlarmPI,https://github.com/bkbilly/AlarmPI,87,2,231,2023-12-14 19:30:56,12
Hands-On-Graph-Analytics-with-Neo4j,https://github.com/PacktPublishing/Hands-On-Graph-Analytics-with-Neo4j,77,5,53,2023-12-07 17:22:31,44
web-tools,https://github.com/mediacloud/web-tools,64,12,6806,2023-12-14 15:43:33,31
walnuts,https://github.com/sunhetao/walnuts,59,0,32,2023-08-24 03:07:08,19
morsechat,https://github.com/robalb/morsechat,57,3,588,2023-11-12 21:58:16,5
Baobab,https://github.com/deep-learning-indaba/Baobab,52,42,4038,2023-12-20 03:37:38,34
little_brother,https://github.com/marcus67/little_brother,51,4,473,2023-12-22 15:00:43,8
malgazer,https://github.com/keithjjones/malgazer,51,0,924,2023-09-28 10:39:17,17
anki-hyper-tts,https://github.com/Language-Tools/anki-hyper-tts,50,0,1222,2023-12-19 10:56:35,7
LazyBlacksmith,https://github.com/Kyria/LazyBlacksmith,49,6,596,2023-11-23 01:35:42,27
danforth-east,https://github.com/adam-p/danforth-east,49,0,90,2023-11-29 23:53:25,14
Programming-CookBook,https://github.com/Koubae/Programming-CookBook,42,2,449,2023-12-06 18:27:25,18
labonneboite,https://github.com/StartupsPoleEmploi/labonneboite,42,18,2539,2023-04-28 17:18:33,15
OpenPLC61850,https://github.com/smartgridadsc/OpenPLC61850,38,2,45,2023-12-22 18:21:16,14
izone,https://github.com/ZHAISHENKING/izone,37,2,80,2023-05-05 14:10:58,27
PyTorrent,https://github.com/fla-sil/PyTorrent,34,4,63,2023-11-22 08:56:52,21
vulyk,https://github.com/mrgambal/vulyk,34,5,370,2023-10-05 17:25:50,6
pillar,https://github.com/armadillica/pillar,31,6,2406,2023-07-30 12:22:33,4
gitlab-analytics,https://github.com/NDHWAlliance/gitlab-analytics,28,3,87,2023-12-05 14:53:18,4
ADRFinder,https://github.com/ChuckMac/ADRFinder,27,2,57,2023-11-15 00:10:56,13
gae-init-babel,https://github.com/gae-init/gae-init-babel,26,19,2754,2022-11-21 03:20:32,9
kdm-manager,https://github.com/toconnell/kdm-manager,26,3,787,2023-10-23 15:25:43,11
machine-reading-comprehension,https://github.com/burglarhobbit/machine-reading-comprehension,25,0,43,2022-11-16 16:32:41,11
paccmann_datasets,https://github.com/PaccMann/paccmann_datasets,24,8,250,2023-10-27 09:50:10,6
weko,https://github.com/RCOSDP/weko,24,49,13777,2023-10-04 02:57:30,47
pass-culture-api,https://github.com/pass-culture/pass-culture-api,23,63,8866,2023-11-22 13:11:57,7
togger,https://github.com/Virusmater/togger,23,2,82,2023-06-29 19:26:50,4
python-vue-spa-boilerplate,https://github.com/andrebaldo/python-vue-spa-boilerplate,22,3,17,2023-08-23 12:09:08,19
tcf,https://github.com/intel/tcf,22,14,3196,2023-10-30 06:57:09,30
ckan-service-provider,https://github.com/ckan/ckan-service-provider,21,21,291,2023-05-29 02:12:55,22
sampledb,https://github.com/sciapp/sampledb,21,9,2966,2023-10-31 16:33:48,9
mxcubeweb,https://github.com/mxcube/mxcubeweb,20,23,4901,2023-12-06 14:29:24,35
pyrrha,https://github.com/hipster-philology/pyrrha,20,13,399,2023-10-02 15:49:07,17
evesrp,https://github.com/paxswill/evesrp,19,5,1384,2023-05-14 12:48:07,13
MOFSimplify,https://github.com/hjkgrp/MOFSimplify,18,3,400,2023-11-26 22:29:49,5
ScoringEngine,https://github.com/DSU-DefSec/ScoringEngine,18,2,321,2023-09-12 14:18:14,7
Swordfish-API-Emulator,https://github.com/SNIA/Swordfish-API-Emulator,18,13,249,2023-10-24 19:05:41,20
freesound-explorer,https://github.com/ffont/freesound-explorer,18,4,802,2023-07-02 01:01:55,3
Blog-bak,https://github.com/LoRexxar/Blog-bak,16,0,172,2023-09-28 10:35:14,6
project,https://github.com/rtp-book/project,16,2,51,2023-10-12 19:44:18,6
signac-dashboard,https://github.com/glotzerlab/signac-dashboard,16,11,559,2023-07-19 09:17:53,6
TENNISON,https://github.com/SDN-Security/TENNISON,15,3,54,2023-11-06 09:20:14,7
keybase,https://github.com/redislabs-training/keybase,15,0,152,2023-11-17 17:49:19,2
hackathon-2023-summer,https://github.com/parity-asia/hackathon-2023-summer,14,72,1055,2023-08-14 01:34:00,77
ipmon,https://github.com/mistergates/ipmon,14,0,33,2023-12-15 21:16:27,10
collectives,https://github.com/Club-Alpin-Annecy/collectives,13,14,1011,2023-11-14 18:21:50,19
encore,https://github.com/statgen/encore,13,9,706,2023-06-21 22:02:17,6
frasco,https://github.com/digicoop/frasco,13,2,244,2022-09-21 12:06:15,1
pro-guide,https://github.com/Darrenzzy/pro-guide,13,0,178,2023-05-08 18:35:52,6
stared-repos,https://github.com/academic-resources/stared-repos,13,2,529,2023-10-28 09:22:21,11
Haldis,https://github.com/ZeusWPI/Haldis,12,32,724,2023-04-21 07:34:26,15
MyLists,https://github.com/Crossoufire/MyLists,12,2,925,2023-11-07 21:17:52,4
OctoBot-Services,https://github.com/Drakkar-Software/OctoBot-Services,12,5,251,2023-10-27 08:32:36,22
PyART,https://github.com/PYART0/PyART,12,0,12,2023-12-13 10:22:46,6
Things-Organizer,https://github.com/yeyeto2788/Things-Organizer,12,2,129,2023-10-01 07:04:43,1
license-key-manager,https://github.com/BUILT-CoLAB/license-key-manager,12,6,215,2023-12-19 23:01:52,3
ramp-board,https://github.com/paris-saclay-cds/ramp-board,12,17,1503,2023-12-20 03:19:38,17
stemmaweb,https://github.com/tla/stemmaweb,12,11,1176,2023-12-15 16:50:43,9
DeepStreaks,https://github.com/dmitryduev/DeepStreaks,11,3,486,2023-08-03 16:40:49,2
