repo_name,repo_url,stars,contributors,commits,update_date,forks,jsonb_agg
pyspider,https://github.com/binux/pyspider,16138,51,1181,2023-12-23 10:10:42,3733,"[{""CSS"": 11931, ""Lua"": 6394, ""HTML"": 25020, ""Python"": 594223, ""Dockerfile"": 1398, ""JavaScript"": 56310}]"
changedetection.io,https://github.com/dgtlmoon/changedetection.io,13572,63,1367,2023-12-23 17:35:58,755,"[{""CSS"": 43536, ""HTML"": 109557, ""SCSS"": 35517, ""Jinja"": 11932, ""Shell"": 7913, ""Python"": 674812, ""Dockerfile"": 2256, ""JavaScript"": 78512}]"
dify,https://github.com/langgenius/dify,12613,74,1173,2023-12-23 18:22:11,1676,"[{""CSS"": 90089, ""MDX"": 202065, ""PHP"": 4443, ""HTML"": 4543, ""Mako"": 494, ""SCSS"": 22952, ""Shell"": 2207, ""Python"": 3291137, ""Dockerfile"": 2499, ""JavaScript"": 33215, ""TypeScript"": 2878293}]"
calibre-web,https://github.com/janeczku/calibre-web,10679,205,3982,2023-12-23 16:46:43,1185,"[{""CSS"": 32426, ""HTML"": 525845, ""Python"": 1241584, ""JavaScript"": 1211330}]"
OctoPrint,https://github.com/OctoPrint/OctoPrint,7787,237,8837,2023-12-23 17:59:46,1686,"[{""CSS"": 7021, ""HTML"": 51198, ""Less"": 46981, ""Jinja"": 460603, ""Shell"": 3726, ""G-code"": 1651044, ""Python"": 2939180, ""JavaScript"": 1662155}]"
flask-admin,https://github.com/flask-admin/flask-admin,5537,296,3087,2023-12-22 09:17:44,1568,"[{""CSS"": 11298, ""HTML"": 162483, ""Shell"": 1437, ""Python"": 779727, ""Makefile"": 5587, ""Batchfile"": 120, ""JavaScript"": 44687}]"
Mailu,https://github.com/Mailu/Mailu,5089,185,4650,2023-12-23 02:07:24,769,"[{""C++"": 385, ""CSS"": 2121, ""HCL"": 12601, ""Lua"": 1347, ""PHP"": 5926, ""HTML"": 72898, ""Mako"": 412, ""Pawn"": 121, ""Shell"": 13305, ""Sieve"": 1267, ""Python"": 398433, ""Gherkin"": 579, ""Dockerfile"": 14592, ""JavaScript"": 9338}]"
faraday,https://github.com/infobyte/faraday,4331,40,12152,2023-12-23 00:53:51,863,"[{""Nix"": 21610, ""HTML"": 8043, ""Mako"": 494, ""Jinja"": 1392, ""Shell"": 4746, ""Python"": 1605016, ""Dockerfile"": 779, ""JavaScript"": 16800}]"
ckan,https://github.com/ckan/ckan,4122,282,25535,2023-12-23 17:12:03,1962,"[{""CSS"": 541593, ""HTML"": 417475, ""Mako"": 3646, ""SCSS"": 143152, ""Shell"": 7815, ""Python"": 4024778, ""Smarty"": 516, ""Gherkin"": 12414, ""PLpgSQL"": 4227, ""Dockerfile"": 1045, ""JavaScript"": 392595}]"
SocialFish,https://github.com/UndeadSec/SocialFish,3714,15,248,2023-12-22 07:35:30,1254,"[{""CSS"": 249409, ""HTML"": 49504, ""Python"": 32975, ""Dockerfile"": 847}]"
flask-login,https://github.com/maxcountryman/flask-login,3442,102,530,2023-12-23 08:54:00,800,"[{""Python"": 102223}]"
open-event-server,https://github.com/fossasia/open-event-server,2929,218,8652,2023-12-23 16:42:38,1899,"[{""HTML"": 80425, ""Mako"": 437, ""Shell"": 20003, ""Python"": 2458465, ""Mustache"": 921, ""Procfile"": 96, ""Dockerfile"": 4228}]"
Mycodo,https://github.com/kizniche/Mycodo,2737,49,6720,2023-12-23 13:33:39,459,"[{""C"": 9292, ""CSS"": 23525, ""HTML"": 2302612, ""Mako"": 705, ""Shell"": 90766, ""Python"": 4349771, ""Dockerfile"": 1552, ""JavaScript"": 78624}]"
cicd-goat,https://github.com/cider-security-research/cicd-goat,1709,11,65,2023-12-22 20:30:28,236,"[{""Go"": 482, ""CSS"": 7658, ""HCL"": 13003, ""TeX"": 1517, ""Vue"": 130548, ""HTML"": 542426, ""Mako"": 494, ""Perl"": 69896, ""SCSS"": 49906, ""Shell"": 293098, ""Groovy"": 16576, ""Python"": 5793959, ""Makefile"": 24858, ""Nunjucks"": 1418, ""Batchfile"": 15049, ""Dockerfile"": 10650, ""JavaScript"": 1028291, ""TypeScript"": 9295}]"
sentry-python,https://github.com/getsentry/sentry-python,1670,193,2065,2023-12-20 03:32:43,468,"[{""HTML"": 158, ""Jinja"": 7755, ""Shell"": 5062, ""Python"": 1935627, ""Makefile"": 1731}]"
querybook,https://github.com/pinterest/querybook,1595,47,943,2023-12-23 10:14:22,205,"[{""CSS"": 482, ""MDX"": 158952, ""HTML"": 1532, ""Mako"": 494, ""SCSS"": 178701, ""Shell"": 5592, ""Python"": 1289954, ""Makefile"": 1974, ""Mustache"": 1283, ""Dockerfile"": 2516, ""JavaScript"": 107170, ""TypeScript"": 2454707}]"
diyHue,https://github.com/diyhue/diyHue,1464,99,1757,2023-12-23 04:54:28,270,"[{""CSS"": 138010, ""HTML"": 13568, ""Less"": 208949, ""SCSS"": 229923, ""Shell"": 22069, ""Python"": 476070, ""Dockerfile"": 2835, ""JavaScript"": 120863}]"
ctf-challenges,https://github.com/ctf-wiki/ctf-challenges,1356,17,147,2023-12-22 23:51:21,434,"[{""C"": 43764, ""C++"": 24622, ""CSS"": 60010, ""HTML"": 2187211, ""Java"": 12230, ""Sage"": 36133, ""TSQL"": 570, ""Shell"": 4420, ""Smali"": 20698, ""Python"": 770879, ""Smarty"": 4685, ""Makefile"": 997, ""Solidity"": 429237, ""Batchfile"": 55, ""Dockerfile"": 1626, ""JavaScript"": 1612321, ""Jupyter Notebook"": 72}]"
house,https://github.com/nccgroup/house,1275,6,70,2023-12-19 08:28:26,213,"[{""CSS"": 6115, ""HTML"": 42809, ""Python"": 69023, ""JavaScript"": 89628}]"
web_develop,https://github.com/dongweiming/web_develop,1203,8,67,2023-11-30 13:30:44,537,"[{""C"": 57378, ""CSS"": 1238, ""VCL"": 8890, ""HTML"": 15735, ""Mako"": 14, ""SCSS"": 450, ""Jinja"": 17659, ""Shell"": 51, ""Cython"": 2024, ""Python"": 243347, ""Smarty"": 86, ""Thrift"": 1403, ""SaltStack"": 1455, ""Dockerfile"": 1451, ""JavaScript"": 14802, ""Jupyter Notebook"": 60046}]"
