repo_name,repo_url,stars,contributors,commits,update_date,forks
QuanWeb,https://github.com/hongquan/QuanWeb,28,0,546,2023-12-23 04:39:30,3
4cat,https://github.com/digitalmethodsinitiative/4cat,203,12,3613,2023-12-22 02:32:07,49
scoringengine,https://github.com/scoringengine/scoringengine,113,11,1797,2023-11-08 04:34:35,45
traffy,https://github.com/FalkAlexander/traffy,5,3,281,2022-08-03 10:39:30,3
todoism,https://github.com/greyli/todoism,146,2,16,2023-12-13 17:38:48,189
Chewie-NS,https://github.com/B-UMMI/Chewie-NS,5,6,663,2023-10-12 08:09:47,0
Hands-On-Graph-Analytics-with-Neo4j,https://github.com/PacktPublishing/Hands-On-Graph-Analytics-with-Neo4j,77,5,53,2023-12-07 17:22:31,44
flowintel-cm,https://github.com/flowintel/flowintel-cm,9,3,220,2023-12-02 09:28:10,0
zwift-offline,https://github.com/zoffline/zwift-offline,450,17,1129,2023-12-24 16:14:55,91
azure-manager,https://github.com/elunez/azure-manager,31,2,25,2023-11-09 03:42:30,14
BunKum,https://github.com/sentanl869/BunKum,9,2,108,2023-12-13 11:54:25,3
Super-NFT,https://github.com/SUIBE-Blockchain/Super-NFT,9,3,13,2023-04-10 11:37:19,2
OpenMF,https://github.com/scorelab/OpenMF,122,11,550,2023-12-24 00:39:48,93
hepdata,https://github.com/HEPData/hepdata,38,13,2382,2023-12-08 19:00:34,10
anyway,https://github.com/data-for-change/anyway,72,105,4055,2023-09-29 15:17:24,241
dash-app-structure,https://github.com/bradley-erickson/dash-app-structure,62,0,10,2023-12-15 16:25:10,28
cube-studio,https://github.com/tencentmusic/cube-studio,1655,28,850,2023-12-23 07:54:23,424
cit-cohort-three,https://github.com/CIT-PROJECTS-2021/cit-cohort-three,6,2,215,2022-10-31 15:45:48,31
bot_delo_zhivet,https://github.com/Studio-Yandex-Practicum/bot_delo_zhivet,9,28,864,2023-07-12 09:27:20,11
Groggo-Needs-Coffee,https://github.com/CameronWhiteside/Groggo-Needs-Coffee,8,6,172,2022-11-24 04:48:40,0
earth-hz,https://github.com/AdaptationSongs/earth-hz,6,2,120,2023-02-02 11:27:20,1
plenario,https://github.com/UrbanCCD-UChicago/plenario,153,17,1845,2023-12-10 06:36:11,42
notification-admin,https://github.com/cds-snc/notification-admin,17,64,10316,2023-10-18 13:30:00,12
DeepBI,https://github.com/DeepInsight-AI/DeepBI,71,5,613,2023-12-24 09:46:33,9
emhub,https://github.com/3dem/emhub,6,3,792,2023-10-20 14:07:59,2
