|              col0              |                                          col1                                          |
+--------------------------------+----------------------------------------------------------------------------------------+
| parsing_attribute              | /usr/lib/python3.10/xml/etree/ElementPath.py:76                                        |
| parsing_attribute              | /usr/lib/python3.10/xml/etree/ElementPath.py:92                                        |
| close_source                   | /usr/lib/python3.10/xml/etree/ElementTree.py:567                                       |
| close_source                   | /usr/lib/python3.10/xml/etree/ElementTree.py:1246                                      |
| Attribute                      | /usr/lib/python3.10/xml/etree/ElementTree.py:1826                                      |
| Attribute                      | /usr/lib/python3.10/xml/etree/ElementTree.py:1827                                      |
| rv                             | /usr/lib/python3.10/logging/__init__.py:825                                            |
| Attribute                      | /usr/lib/python3.10/logging/__init__.py:881                                            |
| Attribute                      | /usr/lib/python3.10/logging/__init__.py:1302                                           |
| Attribute                      | /usr/lib/python3.10/logging/__init__.py:1445                                           |
| rv                             | /usr/lib/python3.10/logging/__init__.py:1669                                           |
| is_enabled                     | /usr/lib/python3.10/logging/__init__.py:1737                                           |
| failfast                       | /usr/lib/python3.10/test/support/__init__.py:176                                       |
| skip                           | /usr/lib/python3.10/test/support/__init__.py:310                                       |
| skip                           | /usr/lib/python3.10/test/support/__init__.py:314                                       |
| PGO                            | /usr/lib/python3.10/test/support/__init__.py:483                                       |
| PGO_EXTENDED                   | /usr/lib/python3.10/test/support/__init__.py:487                                       |
| Attribute                      | /usr/lib/python3.10/test/support/__init__.py:825                                       |
| ignore                         | /usr/lib/python3.10/test/support/__init__.py:1087                                      |
| environment_altered            | /usr/lib/python3.10/test/support/__init__.py:1209                                      |
| result                         | /usr/lib/python3.10/test/support/__init__.py:1331                                      |
| result                         | /usr/lib/python3.10/test/support/__init__.py:1340                                      |
| _buggy_ucrt                    | /usr/lib/python3.10/test/support/__init__.py:1367                                      |
| attr_is_local                  | /usr/lib/python3.10/test/support/__init__.py:1663                                      |
| done                           | /usr/lib/python3.10/test/support/__init__.py:1724                                      |
| punct                          | /usr/lib/python3.10/encodings/__init__.py:59                                           |
| punct                          | /usr/lib/python3.10/encodings/__init__.py:66                                           |
| Attribute                      | /usr/lib/python3.10/importlib/_bootstrap.py:366                                        |
| is_package                     | /usr/lib/python3.10/importlib/_bootstrap.py:442                                        |
| Attribute                      | /usr/lib/python3.10/importlib/_bootstrap.py:703                                        |
| found_in_pycache_prefix        | /usr/lib/python3.10/importlib/_bootstrap_external.py:464                               |
| hash_based                     | /usr/lib/python3.10/importlib/_bootstrap_external.py:961                               |
