|          source           |             sink              |                                     col2                                     |                                     col3                                     |       c        |                                     col5                                     |
+---------------------------+-------------------------------+------------------------------------------------------------------------------+------------------------------------------------------------------------------+----------------+------------------------------------------------------------------------------+
| ControlFlowNode for Flask | ControlFlowNode for Attribute | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:17 | Flask()        | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 |
| ControlFlowNode for Flask | ControlFlowNode for Attribute | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:17 | bar()          | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:14 |
| ControlFlowNode for Flask | ControlFlowNode for Attribute | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:27 | Flask()        | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 |
| ControlFlowNode for Flask | ControlFlowNode for Attribute | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:27 | bar()          | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:14 |
| ControlFlowNode for Flask | ControlFlowNode for Attribute | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:27 | LoginManager() | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:20 |
| ControlFlowNode for Flask | ControlFlowNode for Attribute | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:27 | Attribute()    | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:21 |
| ControlFlowNode for Flask | ControlFlowNode for z         | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:28 | Flask()        | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 |
| ControlFlowNode for Flask | ControlFlowNode for z         | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:28 | bar()          | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:14 |
| ControlFlowNode for Flask | ControlFlowNode for z         | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:13 | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:28 | LoginManager() | E:/Universita/Tesi_Magistrale/Session-Management-Analyser/FlaskApp/app.py:20 |
